region_nom_bdd,prefecture_nom_bdd,total_etablissements,nb_toilettes,nb_batiments,nb_bibliotheques,ratio_toilettes_par_etab,ratio_batiments_par_etab,a_bibliotheque,lat,lon,toilettes_norm,batiments_norm,bibliotheque_norm,score_infrastructure,indice_priorite
Maritime,Agoè-Nyivé,1358,801,1782,0.0,0.59,1.31,0,6.254679045689523,1.1843563747123818,0.3636363636363636,0.03448275862068968,0.0,0.1327,0.8673
Plateaux,Danyi,158,64,263,0.0,0.41,1.66,0,7.256735496737573,0.7007015068877651,0.12987012987012983,0.33620689655172403,0.0,0.1554,0.8446
Plateaux,Wawa,295,119,497,0.0,0.4,1.68,0,7.534562897764734,0.6940475555862229,0.11688311688311691,0.35344827586206884,0.0,0.1568,0.8432
Kara,Dankpen,329,188,545,0.0,0.57,1.66,0,9.70064037158333,0.5752215746764637,0.3376623376623376,0.33620689655172403,0.0,0.2246,0.7754
Kara,Bassar,339,205,564,0.0,0.6,1.66,0,9.337014329252156,0.7355107326614688,0.3766233766233766,0.33620689655172403,0.0,0.2376,0.7624
Plateaux,Agou,218,122,378,0.0,0.56,1.73,0,6.78605447688328,0.7720625977612479,0.32467532467532473,0.39655172413793094,0.0,0.2404,0.7596
Maritime,Zio,1034,527,1886,0.0,0.51,1.82,0,6.429797406438266,1.1906610852001993,0.25974025974025977,0.47413793103448276,0.0,0.2446,0.7554
Plateaux,Amou,270,127,514,0.0,0.47,1.9,0,7.476042287247054,0.9974956116088832,0.20779220779220775,0.5431034482758619,0.0,0.2503,0.7497
Plateaux,Anié,270,84,580,0.0,0.31,2.15,0,7.743770630743649,1.3287681781524177,0.0,0.7586206896551723,0.0,0.2529,0.7471
Kara,Binah,208,142,346,0.0,0.68,1.66,0,9.744035474464631,1.3146702259829062,0.48051948051948057,0.33620689655172403,0.0,0.2722,0.7278
Plateaux,Kloto,311,186,560,0.0,0.6,1.8,0,6.928318549763202,0.627336256734986,0.3766233766233766,0.4568965517241379,0.0,0.2778,0.7222
Maritime,Lacs,447,310,769,0.0,0.69,1.72,0,6.246882630677428,1.541030880534274,0.49350649350649345,0.3879310344827585,0.0,0.2938,0.7062
Kara,Doufelgou,201,140,360,0.0,0.7,1.79,0,9.818026943458424,1.0891838818319288,0.5064935064935064,0.44827586206896547,0.0,0.3183,0.6817
Plateaux,Akébou,201,84,453,0.0,0.42,2.25,0,7.766179683714244,0.7602877267097626,0.14285714285714285,0.8448275862068965,0.0,0.3292,0.6708
Centrale,Mô,104,79,183,0.0,0.76,1.76,0,8.734343031616026,0.5654030619980357,0.5844155844155844,0.42241379310344823,0.0,0.3356,0.6644
Savanes,Tandjoaré,343,259,625,0.0,0.76,1.82,0,10.659374822763064,0.1423121406121205,0.5844155844155844,0.47413793103448276,0.0,0.3529,0.6471
Centrale,Sotouboua,344,256,652,0.0,0.74,1.9,0,8.587366794226547,1.0436978818034763,0.5584415584415584,0.5431034482758619,0.0,0.3672,0.6328
Kara,Assoli,130,100,243,0.0,0.77,1.87,0,9.351748555444011,1.239640270816455,0.5974025974025974,0.5172413793103449,0.0,0.3715,0.6285
Plateaux,Kpélé,198,105,452,0.0,0.53,2.28,0,7.135407096101769,0.802235566547557,0.28571428571428575,0.8706896551724135,0.0,0.3855,0.6145
Plateaux,Moyen-Mono,182,99,414,0.0,0.54,2.27,0,7.198802199080998,1.5910358091971415,0.29870129870129875,0.8620689655172413,0.0,0.3869,0.6131
Savanes,Kpendjal,87,76,155,0.0,0.87,1.78,0,10.850476809431546,0.6982578324903511,0.7272727272727273,0.43965517241379304,0.0,0.389,0.611
Maritime,Yoto,372,212,845,0.0,0.57,2.27,0,6.645887922467116,1.4725038932435002,0.3376623376623376,0.8620689655172413,0.0,0.3999,0.6001
Centrale,Tchaoudjo,510,401,998,0.0,0.79,1.96,0,8.985299679531202,1.16422928273001,0.6233766233766234,0.5948275862068965,0.0,0.4061,0.5939
Plateaux,Haho,576,295,1402,0.0,0.51,2.43,0,7.006136239895024,1.2040340762863573,0.25974025974025977,1.0,0.0,0.4199,0.5801
Plateaux,Ogou,373,240,836,0.0,0.64,2.24,0,7.459418962741987,1.2178198761986614,0.4285714285714286,0.8362068965517242,0.0,0.4216,0.5784
Centrale,Blitta,418,366,790,0.0,0.88,1.89,0,8.184670881519912,0.975012418054654,0.7402597402597403,0.5344827586206895,0.0,0.4249,0.5751
Maritime,Vo,476,350,1006,0.0,0.74,2.11,0,6.37677496984557,1.5092975692994228,0.5584415584415584,0.7241379310344825,0.0,0.4275,0.5725
Plateaux,Est-Mono,287,217,614,0.0,0.76,2.14,0,8.068646126410675,1.387410703835221,0.5844155844155844,0.75,0.0,0.4448,0.5552
Maritime,Bas-Mono,252,216,505,0.0,0.86,2.0,0,6.460301217668953,1.6337713878612723,0.7142857142857143,0.6293103448275861,0.0,0.4479,0.5521
Centrale,Tchamba,324,243,709,0.0,0.75,2.19,0,8.81960064883284,1.4707291490623968,0.5714285714285714,0.7931034482758619,0.0,0.4548,0.5452
Maritime,Golfe,2403,1658,3050,2.0,0.69,1.27,1,6.174584768048618,1.2317177604916156,0.49350649350649345,0.0,1.0,0.4978,0.5022
Savanes,Oti-Sud,192,186,398,0.0,0.97,2.07,0,10.266037456220843,0.6537617565243647,0.857142857142857,0.6896551724137928,0.0,0.5156,0.4844
Savanes,Kpendjal-Ouest,145,156,298,0.0,1.08,2.06,0,10.853373838962618,0.4392480705079405,1.0,0.6810344827586207,0.0,0.5603,0.4397
Savanes,Cinkassé,165,169,372,0.0,1.02,2.25,0,11.07016834256933,0.0545500090371204,0.922077922077922,0.8448275862068965,0.0,0.589,0.411
Maritime,Avé,312,177,580,1.0,0.57,1.86,1,6.413872247371694,0.9570810151066974,0.3376623376623376,0.5086206896551724,1.0,0.6154,0.3846
Kara,Kéran,201,146,374,1.0,0.73,1.86,1,10.008305548288815,0.9575967695031808,0.5454545454545454,0.5086206896551724,1.0,0.6847,0.3153
Kara,Kozah,544,406,1056,2.0,0.75,1.94,1,9.558650534130736,1.1854100157628498,0.5714285714285714,0.5775862068965516,1.0,0.7163,0.2837
Savanes,Oti,223,194,482,1.0,0.87,2.16,1,10.473963452299312,0.4079829586189887,0.7272727272727273,0.7672413793103449,1.0,0.8315,0.1685
Savanes,Tône,654,523,1519,4.0,0.8,2.32,1,10.88759806575451,0.1996418900438361,0.6363636363636365,0.9051724137931032,1.0,0.8472,0.1528
